logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/02.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/00.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/08.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/05.png,handle, metal, 7.87
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/01.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/06.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0059/gpt_input/01/04.png,Part of a tire, rubber, 1.1-1.5
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/02.png,handle, stainless steel, 7.93
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/00.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/05.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/03.png,handle, plastic, 1.4
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/06.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0029/gpt_input/01/04.png,part of a car tire, rubber, 1.1-1.2
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/02.png,caption, material, density(g/cm^3)
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/00.png,handle, rubber, 1.54
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/05.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/03.png,part of a shoe sole, rubber, 1.1-1.5
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/06.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0089_top/gpt_input/01/04.png,caption, material, density(g/cm^3)
logs/20250709_chair_chair/view_front_dirs/0089/gpt_input/01/02.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0089/gpt_input/01/00.png, Tire tread, rubber, 1.1-1.2
logs/20250709_chair_chair/view_front_dirs/0089/gpt_input/01/01.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0089/gpt_input/01/03.png,PARTIAL OBJECT: A segment of a car tire, rubber, 1.1-1.5, Shore A hardness 60-80.
logs/20250709_chair_chair/view_front_dirs/0089/gpt_input/01/04.png,Part of a laptop, plastic, 1.4
logs/20250709_chair_chair/view_front_dirs/top_0119_top/gpt_input/01/02.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0119_top/gpt_input/01/00.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0119_top/gpt_input/01/01.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0119_top/gpt_input/01/03.png,Handle, metal, 7.87
logs/20250709_chair_chair/view_front_dirs/top_0119_top/gpt_input/01/04.png,part of a handle, stainless steel, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/14.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/09.png,handle, wood, 0.65-0.75
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/00.png,caption, material, density(g/cm^3)
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/12.png, Tire, rubber, 1.1-1.2
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/08.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/11.png,Handle of a kitchen knife, stainless steel, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/15.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/07.png,wheel, rubber, 1.1-1.2
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/01.png,partial wheel, rubber, 1.1-1.2
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/10.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/0119/gpt_input/01/13.png,Part of a spoon, stainless steel, 7.93
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/02.png,Handle, plastic, 1.25
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/00.png,part of a car tire, rubber, 1.1-1.5
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/05.png,Handle, brass, 8.5
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/03.png,Part of a car tire, rubber, 1.1-1.5
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/06.png,Handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0029_top/gpt_input/01/04.png,a handle, plastic, 1.35
logs/20250709_chair_chair/view_front_dirs/top_0059_top/gpt_input/01/02.png,handle, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0059_top/gpt_input/01/00.png,Handle, metal, 7.85-8.05
logs/20250709_chair_chair/view_front_dirs/top_0059_top/gpt_input/01/01.png,Handle of a hammer, metal, 7.85
logs/20250709_chair_chair/view_front_dirs/top_0059_top/gpt_input/01/04.png,Handle, plastic, 1.25-1.45
