projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/00.png,Part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/03.png,handle, stainless steel, 7.85
projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/05.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_29_e60_a150/gpt_input/01/00.png,Handle, metal, 7.85
projected_views_ply_dirs/view_29_e60_a150/gpt_input/01/01.png,Part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_29_e60_a150/gpt_input/01/02.png,partial object, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_29_e60_a150/gpt_input/01/03.png,part of a car tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_29_e60_a150/gpt_input/01/04.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/00.png,Part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/01.png, Tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/02.png,Handle, metal, 7.85
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/03.png,wheel, rubber, 1.1-1.2
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/04.png,Handle, rubber, 1.1-1.5
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/06.png,Handle, metal, 7.85
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/08.png,A handle, metal, 7.85
projected_views_ply_dirs/view_06_e0_a180/gpt_input/01/09.png,Handle, aluminum, 2.7
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/00.png,Handle, metal, 7.85
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/02.png,handle, plastic, 1.2
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_22_e-60_a300/gpt_input/01/06.png,handle, metal, 7.85
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/00.png,handle, plastic, 1.2-1.4
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/01.png,handle, wood, 0.65-0.75
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/02.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/05.png,Handle, steel, 7.85
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/06.png,part of a tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/07.png,handle, metal, 7.87-8.96
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/08.png,handle, metal, 7.85
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/09.png,Handle of a kitchen knife, stainless steel, 7.85.
projected_views_ply_dirs/view_08_e0_a240/gpt_input/01/10.png,Handle, rubber, 1.55
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/00.png,handle, metal, 7.87
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/01.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/02.png,part of a car tire, rubber, 1.15-1.25
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/05.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/06.png,Handle, metal, 7.85
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/08.png,a pneumatic tube, rubber, 1.1-1.5
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/09.png,handle, plastic, 1.4
projected_views_ply_dirs/view_01_e0_a30/gpt_input/01/10.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_33_e60_a270/gpt_input/01/00.png,a partial handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_33_e60_a270/gpt_input/01/01.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_33_e60_a270/gpt_input/01/02.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_33_e60_a270/gpt_input/01/03.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_33_e60_a270/gpt_input/01/04.png,handle, metal, 7.9
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/00.png,Handle, metal, 7.85
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/01.png,Handle, plastic, 1.2 - 1.5
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/02.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/05.png,part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/06.png,(part of a car tire, rubber, 1.1-1.2)
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/07.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/08.png,Part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/09.png,Handle, plastic, 1.2
